"","term","estimate","std_error","statistic","p_value","lower_ci","upper_ci"
"1","intercept",1.301,0.01,125.172,0,1.28,1.321
"2","DM_2$year: 2010",0.043,0.002,18.07,0,0.038,0.048
"3","DM_2$year: 2011",0.041,0.002,18.039,0,0.036,0.045
"4","DM_2$year: 2012",0.028,0.002,12.065,0,0.023,0.033
"5","DM_2$year: 2013",0.033,0.003,12.726,0,0.028,0.038
"6","DM_2$year: 2014",0.08,0.003,25.846,0,0.074,0.086
"7","DM_2$year: 2015",0.091,0.003,27.854,0,0.084,0.097
"8","DM_2$zipcode: 10031",-0.088,0.002,-37.496,0,-0.093,-0.084
"9","DM_2$zipcode: 10032",-0.175,0.002,-87.848,0,-0.179,-0.171
"10","DM_2$zipcode: 10033",-0.101,0.002,-60.905,0,-0.104,-0.098
"11","DM_2$zipcode: 10034",-0.125,0.002,-63.235,0,-0.129,-0.122
"12","DM_2$zipcode: 10466",0.026,0.005,4.796,0,0.015,0.036
"13","DM_2$zipcode: 10468",-0.184,0.003,-60.636,0,-0.19,-0.178
"14","DM_2$zipcode: 10475",-0.388,0.004,-95.733,0,-0.396,-0.38
"15","DM_2$zipcode: 11234",-0.139,0.003,-53.461,0,-0.144,-0.134
"16","DM_2$zipcode: 11432",-0.077,0.003,-27.721,0,-0.082,-0.071
"17","DM_2$airbnb: 1",0.028,0.002,16.574,0,0.024,0.031
"18","DM_2$Rating: 2",-0.001,0.001,-0.566,0.571,-0.003,0.002
"19","DM_2$Rating: 3",0,0.001,0.392,0.695,-0.002,0.003
"20","DM_2$Rating: 4",0.003,0.001,2.331,0.02,0,0.005
"21","DM_2$Rating: 5",0.003,0.001,3.01,0.003,0.001,0.005
"22","DM_2$price_category: 2",-0.004,0.001,-4.694,0,-0.006,-0.002
"23","DM_2$price_category: 3",0.005,0.002,2.223,0.026,0.001,0.009
"24","DM_2$price_category: 4",-0.015,0.018,-0.839,0.402,-0.05,0.02
"25","DM_2$yelp_count",-0.007,0,-82.975,0,-0.007,-0.007
"26","DM_2$yelp_NYC_count",0.009,0,76.15,0,0.009,0.009
"27","DM_2$yelp_NYC_average",0.677,0.003,232.855,0,0.671,0.683
"28","DM_2$yelp_average:DM_2$yelp_count",0.002,0,82.155,0,0.002,0.002
"29","DM_2$yelp_NYC_count:DM_2$yelp_NYC_average",-0.002,0,-77.567,0,-0.002,-0.002
