zipcode,year,airbnb,yelp_count,yelp_average,yelp_NYC_count,yelp_NYC_average
10026.0,2009,0,115,3.8,44.0,3.590909090909091
10026.0,2010,0,231,3.502164502164502,102.0,3.2450980392156863
10026.0,2011,0,415,3.5156626506024096,186.0,3.413978494623656
10026.0,2012,1,545,3.5137614678899083,245.0,3.4
10026.0,2013,1,705,3.59290780141844,341.0,3.530791788856305
10026.0,2014,1,1333,3.641410352588147,655.0,3.5786259541984733
10026.0,2015,1,2036,3.6468565815324165,955.0,3.487958115183246
10031.0,2009,0,70,3.585714285714286,33.0,3.303030303030303
10031.0,2010,0,74,3.8378378378378377,36.0,3.8055555555555554
10031.0,2011,0,136,3.8161764705882355,75.0,3.7733333333333334
10031.0,2012,1,244,3.819672131147541,137.0,3.8394160583941606
10031.0,2013,1,410,3.9146341463414633,218.0,3.8394495412844036
10031.0,2014,1,664,3.7093373493975905,361.0,3.6454293628808863
10031.0,2015,1,1233,3.923763179237632,686.0,3.8629737609329444
10032.0,2009,0,91,3.2527472527472527,41.0,3.1707317073170733
10032.0,2010,0,124,3.4596774193548385,61.0,3.4754098360655736
10032.0,2011,0,172,3.38953488372093,86.0,3.383720930232558
10032.0,2012,0,180,3.2944444444444443,102.0,3.235294117647059
10032.0,2013,1,219,3.2557077625570776,106.0,3.339622641509434
10032.0,2014,1,358,3.399441340782123,190.0,3.3947368421052633
10032.0,2015,1,444,3.608108108108108,226.0,3.6371681415929205
10033.0,2009,0,100,3.41,51.0,3.5098039215686274
10033.0,2010,0,161,3.3229813664596275,74.0,3.22972972972973
10033.0,2011,0,300,3.6433333333333335,170.0,3.541176470588235
10033.0,2012,0,323,3.4922600619195046,175.0,3.3771428571428572
10033.0,2013,1,400,3.38,190.0,3.3
10033.0,2014,1,561,3.4563279857397506,300.0,3.4066666666666667
10033.0,2015,1,702,3.3504273504273505,385.0,3.2181818181818183
10034.0,2009,0,77,3.4155844155844157,43.0,3.627906976744186
10034.0,2010,0,121,3.760330578512397,62.0,3.8225806451612905
10034.0,2011,0,146,3.6027397260273974,80.0,3.6
10034.0,2012,0,239,3.728033472803347,120.0,3.7083333333333335
10034.0,2013,1,343,3.60932944606414,187.0,3.572192513368984
10034.0,2014,1,520,3.4923076923076923,304.0,3.414473684210526
10034.0,2015,1,674,3.5756676557863503,408.0,3.5294117647058822
10466.0,2009,0,1,4.0,0.0,0.0
10466.0,2010,0,6,4.166666666666667,4.0,4.0
10466.0,2011,0,3,4.0,1.0,4.0
10466.0,2012,0,7,3.2857142857142856,3.0,2.3333333333333335
10466.0,2013,0,16,3.5625,6.0,3.5
10466.0,2014,0,20,4.05,5.0,4.0
10466.0,2015,0,79,4.189873417721519,25.0,4.08
10468.0,2009,0,12,3.3333333333333335,7.0,3.5714285714285716
10468.0,2010,0,31,3.3548387096774195,17.0,3.1176470588235294
10468.0,2011,0,38,3.6315789473684212,18.0,3.5
10468.0,2012,0,53,3.943396226415094,29.0,3.9310344827586206
10468.0,2013,0,86,3.6511627906976742,42.0,3.761904761904762
10468.0,2014,0,204,3.303921568627451,115.0,3.3043478260869565
10468.0,2015,0,319,3.341692789968652,185.0,3.2594594594594595
10475.0,2009,0,10,2.3,6.0,2.3333333333333335
10475.0,2010,0,12,3.1666666666666665,9.0,3.4444444444444446
10475.0,2011,0,25,2.56,10.0,2.9
10475.0,2012,0,30,2.5,17.0,2.235294117647059
10475.0,2013,0,76,2.3552631578947367,34.0,2.0588235294117645
10475.0,2014,0,142,2.3450704225352115,69.0,2.217391304347826
10475.0,2015,0,247,2.534412955465587,135.0,2.5185185185185186
11234.0,2009,0,38,3.4473684210526314,23.0,3.3043478260869565
11234.0,2010,0,90,3.477777777777778,47.0,3.3404255319148937
11234.0,2011,0,124,3.4516129032258065,77.0,3.324675324675325
11234.0,2012,0,168,3.2916666666666665,101.0,3.396039603960396
11234.0,2013,0,262,3.480916030534351,177.0,3.4293785310734464
11234.0,2014,0,380,3.610526315789474,258.0,3.5193798449612403
11234.0,2015,0,488,3.6454918032786887,300.0,3.6266666666666665
11432.0,2009,0,25,4.24,13.0,4.153846153846154
11432.0,2010,0,37,3.918918918918919,15.0,3.533333333333333
11432.0,2011,0,89,3.865168539325843,27.0,3.7037037037037037
11432.0,2012,0,133,3.6240601503759398,54.0,3.5925925925925926
11432.0,2013,0,198,3.4242424242424243,90.0,3.388888888888889
11432.0,2014,0,322,3.472049689440994,125.0,3.456
11432.0,2015,0,418,3.514354066985646,157.0,3.4203821656050954
